,jobtitle,employer,location,seniorityLevel,employmentType,jobFunction,industry,salaryRange,jobStatus,description
93,Software Engineer,Crisp,"Leeds, England, United Kingdom",Mid-Senior level,Full-time,Engineering and Information Technology,Information Technology and Services,,No longer accepting applications,"[""We are growing our Engineering Team !\n\nIt is an extremely exciting time to join us here at Crisp & although we are currently working from home full time, our company is very much continuing to thrive.\n\nWe are looking for multiple talented .NET Developers to join us and will be considering Mid level to Senior Developers....\n\nIn response to COVID -19, these roles will be WFH full time until September 2021, perhaps longer. Applicants therefore must be in a position to work from their home and have a secure workstation appropriate for home working for an extended period.\n\nYour flexibility to work in our Leeds office will be key, as we will be gradually returning to our offices.\n\nAlthough this role is remote, the right individual does need to be within an accessible distance to our Leeds offices, flexibility to attend our offices every so often will be essential.\n\nLeading global brands and social platforms trust Crisp for Social Media Safety, safeguarding their share price and reputation by guaranteeing they are always the first to know. Which means they are always the first to act.\n\nBy combining Artificial and Human Intelligence, Crisp’s Extended Intelligence delivers 24/7/365 safety by continually fighting the weaponization of communications from whoever the source, whatever the language and whichever the online harm.\n\nCrisp tracks and understands what ‘Bad Actors’ are saying to build accurate profiles and use predictive and behavioural analytics to identify trends and identify the “unknown unknowns”. Crisp’s proprietary technology then does the heavy lifting by scanning the web continuously, capturing billions of pieces of data on this select cohort of individuals.\n\nCrisp currently protects over $3.6 trillion of aggregate market capitalisation across our current customer base. This demonstrates both the value and uniqueness of our service, and the trust our customers have in us to deliver that service\nRequirements\n\nAs an Engineer you will analyse system requirements and write clean, testable code using C#, Python or Javascript programming languages.\n\nWorking alongside a fantastic engineering team, you will test and debug various applications and review & refactor code.\nYou will deploy fully functional applications & document development and operational issues.\n\nAlthough we cannot tell you the detail of our projects (due to privacy and confidentiality to clients), we can tell you that you will work on exciting and interesting projects, where you will also be involved with supporting Junior Developers with their work ...\n\nEssential Criteria\nWork experience as a professional software developer\nProficiency in building web-based applications\nIn-depth knowledge of at least one of the following languages : C#, Javascript, or Python\nExperience of using automated environment build tooling (ideally Azure Devops)\nTroubleshooting abilities\nGood communication skills\nDesirable Criteria\nGoogle Cloud Platform\nOctopus Deploy\nAgile Project delivery (ideally Kanban)\n\nBenefits\n\nOur rewards are as unique as our culture, and we want to attract the best people and retain them.\nNot only will we ensure that your development is key, but you will be joining a fantastic team of like-minded people who work together as one team to achieve a shared vision.We offer an excellent salary and benefits package which includes:\n\nMarket competitive salary based your skills and experience\nDiscretionary bonus scheme / commission scheme with payment based on revenue generated as a result of generated sales leads\nA generous option allocation\n33 days holiday including Bank Holidays (20 days in the US)\nCritical Illness insurance\nLife Insurance Cover\nHealthcare Cash Plan / Healthcare, dental and vision plan\nAn attractive pension / 401k retirement plan scheme\nCycle to Work Scheme\nEmployee perks schemes offering discounts, rewards, giveaways and more\nSubsidised gym membership\nMental health wellbeing portal and access to an in-house clinical psychologist\nSupport and provision of supplies to facilitate home working\nFlexible working opportunities.\n\nStatement:\n'This work meets the requirements in respect of exempted questions under the Rehabilitation of Offenders Act 1974, any applicants who are offered work for this organisation will be subject to an enhanced check from the Disclosure and Barring Service (DBS). This will include details of cautions, reprimands or final warnings as well as convictions. A criminal record will not automatically bar a person from successfully taking up this post.""]"
94,Sitecore Developer,EPAM Systems,"Leeds, England, United Kingdom",Mid-Senior level,Full-time,Engineering and Information Technology,Information Technology and Services,,Open,"['EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.\n\nDescription\n\nEPAM Systems are looking to recruit (Mid-Senior) Sitecore Developer to join our rapidly growing team in the UK. We work on several different projects in a real mix of sectors. This requirement is primarily based onsite with a longstanding EPAM customer. It is an excellent opportunity is being part of something huge, a long standing digital transformation working with cutting edge technologies in a variety of sectors.\n\nWe pride ourselves on being an organisation that supports your technical growth, unleashing your real potential, whilst still nurturing the core values of what it means to be an EPAMer.\n\nResponsibilities\n\nBe responsible for develop new functionalities and maintenance of existing ones\nConduct code reviews\nActing as a mentor and supervise work of less experienced Developers\nBuild consultative client facing relationships throughout the project lifecycle from a personal and technical perspective\nWrite unit tests and review unit test coverage\n\nRequirements\n\n3+ years of commercial experience connected with Sitecore\nGood .NET/ASP.NET MVC knowledge\nGood command of English (both written and spoken)\nAbility to setup and configure CI/CD (DevOps experience)\nBasic SEO/HTML meta and web analytics skills\nExperience with System integrations (CRM, commerce, DAM, CDN etc.)\nKnowledge of globalization/localization\nWorking experience with Agile methodologies\n\nNice to have\nExperience in JavaScript and HTML/CSS is a plus\nKnowledge about Multi-site Information architecture (data templates, inheritance, placeholders, insert options, rendering definitions etc.)\nFamiliar with:\nSitecore Helix\nDI framework (Castle Windsor, Simple Injector, Unity)\nExperience Editor\nORMs/T4 templates (Glass Mapper, CIG)\nDev tools (Unicorn/TDS, Sitecore Rocks, Sitecore Instance Manager)\nxDB (Visitor Identification, personalization, rules engine, personas/profiles, analytics etc.)\nSearch (Solr, Content Search API)\nSitecore Shell (ribbon buttons, custom experience buttons etc, custom commands)\nSitecore Content Hub\n\nWe offer\n\nWe offer a range of benefits including\nA competitive group pension plan, life assurance and income protection\nPrivate medical insurance, private dental care and critical illness cover\nCycle scheme Tech scheme and season ticket loan\nEmployee assistance program\nVarious perks such as Friday lunch, on-site massage and regular social events\nUnlimited access to LinkedIn learning solutions\nSome of these benefits may be available only after you have passed your probationary period\n\nApply']"
95,Full-Stack Engineer: Data Engineering (Common Voice),Mozilla,"Leeds, England, United Kingdom",Associate,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Internet",,Open,"['The Mozilla Foundation is a California nonprofit public-benefit organization. Our mission is to ensure the internet remains a global public resource, open and accessible to all! Today, this includes making sure artificial intelligence (AI) and data driven technology are more trustworthy.\n\nOver the next few years, the majority of our internet health programs will be on ensuring more trustworthy AI. For us, this means two things: human agency is a core part of how AI is built and integrated and corporate accountability is real and implemented. As part of this effort, we are exploring projects that invite the public to participate in creating trustworthy AI by willingly creating and donating data.\n\nMost significantly, this includes the Common Voice project, which aims to shape the future of voice AI! Voice AI leaves most languages, accents and demographics behind. This project seeks to build openly available data sets for training machine-learning driven voice technologies. The core of this project is a platform that supports language communities and individual volunteers to “donate their voice” to an open data set, which anyone can then download for commercial or non-commercial use.\n\nThis work has significant crossover with our Data Futures Lab and our Africa Mradi Innovation work.\n\nResponsibilities And Experience\n\nThe Engineer for Common Voice will be part of a team of three engineers working directly for the project - and as this project is open source, also supported by hundreds of passionate Common Voice volunteers. You will work across the stack, but have a particular responsibility for data engineering.\nDevelop code Typescript, NodeJS, MySQL, Python that supports the Common Voice platform and dataset\nWork directly with the Product Lead to shape and inform all aspects of the product roadmap\nPartner with the community manager to understand the wide and diverse community of software engineers, language activists and data scientists globally who use and contribute to Common Voice\nCollaborate with designers to build and deploy prototypes and experiments that test experience concepts. You will help plan for iterations inclusive of accessibility and responsive design standard methodologies.\nCollaborate with other developers and engineers as part of a global, distributed open source development team. This will involve technical decision making, code reviews (receiving and giving), engagement with contributors, planning and other collaborative practices.\nCommunicate clearly, thoughtfully and regularly with your team, building a culture of trust and openness\nParticipate in agile software development practices such as daily standups, sprint planning meetings, demos, retrospectives and sprint-based development cycles\nRequired Qualifications\nPassion for developing high quality, high impact products, platforms and experiences.\nAt least four years of professional experience in full stack web development, ideally in a product team or product-centric company.\nAn interest in voice technology and/or AI.\nFluency in HTML/CSS/JS/TypeScript and experience with Node.js and React.\nExperience with data access and pipeline work, including designing and improving infrastructure for ingesting, storing, and transforming data\nExperience with highly scalable distributed systems hosted on cloud providers (e.g. AWS and GCP)\nFluency in web application architecture, including data structures.\nThe ability to translate wireframes, style guides and design direction into polished, production ready visual experiences.\nA user-centred approach, with a keen interest in collaborating with and serving a community’s needs.\nAwareness of the need for accessibility in implementation and a willingness to collaborate with designers to deliver inclusive experiences.\nVery strong communication skills -- you communicate your opinions and listen to others.\nExperience working in multidisciplinary teams of technical and non-technical people, with a deep respect for the different skills that people bring.\nA willingness to learn and keep growing, both professionally and personally.\nIdeally, have worked on contributor or community participation technologies in the past, or have had substantial personal experience contributing to an open source project and community.\nAbout Our Culture\n\nThe Common Voice team is spread across multiple countries. We care deeply about our mission, and value hard work. We do not value ‘facetime’, and we embrace that our colleagues have lives beyond work. You will be able to work flexibly and remotely - we welcome applications from those who are working alongside other commitments, for example responsibilities of care-giving, or creative projects.\n\nSalary And Benefits Information\n\nThe Mozilla Foundation is dedicated to fair and equitable compensation for our staff. We aim to pay a competitive and market-based salary that takes into consideration the responsibilities and requirements of the role. The Mozilla Foundation aims to offer at the midpoint of our salary ranges for the purposes of increasing inclusivity and fairness of our offer process and ensuring internal equity. We do not ask for, or take into account, salary histories in our offer process.\n\nThe base salary ranges, along with mid-point, for this role in each of the key countries in which we employ staff is listed below. We target the 75th percentile of market pay as a salary band midpoint for all levels, with 10% either side of the midpoint to create a salary range.\nGermany: €65,751 - €80,363 (mid-point: €73,057)\nUK: £38,990 - £47,654 (mid-point: £43,322)\nCanada: $74,438 - $90,979 (mid-point: $82,709)\nUS: $69,782 - $85,289 (mid-point: $77,535)\nDepending on the successful candidate’s location, we may also add in a geographic differential to this base salary that accounts for local job market weighting. This differential is applied to the above ranges depending on the successful candidate’s location. Below are some of the common cities in which we hire staff along with representative examples of salary ranges, along with mid-point, with the geographical differential applied:\nInner London: £42,500 - £51,943 (mid-point: £47,221)\nToronto: $80,318 - $98,166 (mid-point: $89,243)\nNew York: $77,318 - $94,500 (mid-point: $85,909)\nThe range for your specific location will be discussed in screening conversations if your application is successful.\n\nWe Offer The Following Benefits To All Staff\nHealth, Dental, and Vision Insurance\nLife Insurance + Accidental Death & Dismemberment\nShort-Term Disability and Long-Term Disability\nEmployee Assistance Program (EAP)\nRetirement Plan contributions\n20 Paid Time Off days per year (prorated) + your birthday\nCompany Holidays + Shutdown\nWellness budget\nProfessional Development budget\nTop up program for Maternity and Parental leaves\nBenefits are subject to change at any time at the discretion of Mozilla Foundation.\n\nMozilla Foundation Hiring Practices\n\nMozilla understands that valuing diverse creative practices and forms of knowledge are crucial to and enrich the company’s core mission. We encourage applications from everyone, including members of all equity-seeking communities, such as (but certainly not limited to) women, racialized and Indigenous persons, persons with disabilities, and persons of all sexual orientations and gender identities and expressions.\n\nWe are an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.\n\nWe will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation at accommodation@mozillafoundation.org.\n\nGroup: D']"
96,Data Analyst (4299),Leeds Building Society,"Leeds, England, United Kingdom",Entry level,Full-time,Information Technology,"Information Technology and Services, Banking, and Financial Services",,Open,"[""Are you an experienced Data Analyst who loves to work on their own initiative and be involved in a wide range of different projects?\n\nHere at Leeds Building Society our Software Delivery function is an expanding area of our business and we and looking for a new Data Analyst to join us as we grow our team. You'll be based from our new Sovereign House head office in Leeds and have some flexibility for remote working.\n\nAs a Data Analyst you will provide companywide strategic, analytical, and technical support for software development activities. You'll act as an intermediary between the business community and the technical community working with IT project teams and business clients to collect, clarify, and translate business requirements into documentation and conceptual design (using appropriate tools and models) from which applications and solutions are developed. You'll also be heavily involved with the distribution and successful delivery of all BI reports.\n\nIdeally, you will have the following skills and experience in order to be successful in this newly created role:\nIntermediate SQL skills\nProven ability to quickly learn new applications, processes, and procedures\nAble and willing to collaborate in a team environment and exercise independent judgment\nExcellent verbal and written communication skills\nAbility to form good partner relationships across functions\nStrategic, intellectually curious thinker with focus on outcomes\nAdvanced knowledge of relational databases\nSignificant experience of working collaboratively with internal and external customers\nDemonstrated experience in writing software requirements and test specifications\nExperience working on data warehouse deployments\nA good working knowledge of Microsoft Office products\nWhy is Leeds Building Society a great place to work?\n\nWe're a mutual not a bank, which means we're owned by our members and are run exclusively in their best interests. In fact, our business is built on the idea of people helping people, whether that's saving for the future or buying their own home.\n\nWe're proud to be the first financial services organisation to be awarded Leaders in Diversity. We don't believe in a ‘one size fits all' approach when it comes to working here so we provide a flexible inclusive working environment that suits all colleagues. We're a 2019 Sunday Times Best Company to work for, which reflects our commitment to support our colleagues with the environment, tools and training they need to be able to excel in their careers.\n\nWe're committed to doing what's right for our members, colleagues and communities. We were the first national high-street financial institution to be awarded the Fair Tax Mark, we buy 100% renewable electricity for all our sites and have a charity partnership with Dementia UK. In addition every colleague has 14 hours volunteering each year. Our culture and colleagues are at the heart of everything we do.\n\nInterested in applying?\nClick “Please Apply” below.\nLeeds Building Society is proud to be an equal opportunity employer. We are committed to equal employment opportunities regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability or gender identity. If you have a disability or special need that requires accommodation, please contact us.""]"
97,Data Engineer,BAE Systems Applied Intelligence,"Leeds, England, United Kingdom",Associate,Full-time,"Management, Analyst, and Information Technology",Information Technology and Services,,Open,"['The UK Government National Security Mission is what excites us at Applied Intelligence. We endeavour to work at the very core of our customer’s mission and as technology develops, data is becoming an ever more essential feature of working in this sector. At a high level, the need for bigger, better and faster data is vital. Our ever expanding team of passionate Data Scientists and Engineers are the reason we are able to contribute to the success of our customer’s mission. Data Science will continue to play a pivotal role in expanding our capability to deliver solutions to our customers for years to come.\n\nData Engineer\n\nWe are looking for experienced Data Engineers to join our team following continuous growth and success in the UK Government sector.\n\nOur people are what differentiates us, they are resourceful, innovative and dedicated. We have a mix of generalists and specialists and recognise that this diversity contributes to our success. We recognise the benefits of forming teams from a mix of disciplines, which allows us to come up with cutting edge, high quality solutions.\n\nOur breadth of work across the Public Sector provides diverse opportunities for our people to develop their careers in new areas of expertise and with new clients. Our projects are spread across the Data Science lifecycle from delivering Research and Proof of Concept models, to building and delivering operational solutions.\n\nWhat You Could Be Doing For Us\nDesign, develop, test and support data collection, data integration and ETL applications to make information and data available to key client stakeholders and technical interfaces\nModel data requirements, data sources and data flows to bring order and structure to programmes of work\nDefining how and where data is created, mastered and destroyed to ensure proper control over the lifecycle of corporate data assets\nUsing categories of products that can be used to collect, integrate, store, visualise and govern data and metadata\nDefine metadata to provide searchability and governance (including Records Management) for unstructured data.\nWhat background are we looking for?\nData Engineering, Analysis or Science, with a solid understanding of programming languages along with experience of applying them in your previous role\nExperience in using Data Engineering tools and technology ETL tools including Python and a number of the Big Data Applications. Rather than specifying a list of technologies we look for, demonstrable ability in what you have used previously, along with adaptability and willingness to learn is what we value\nA good understanding of Open Source software for Data Engineering and can evaluate these platforms against products. Given a customer problem you can analyse and evaluate options and recommend solutions.\nAn understanding of maintaining and applies up to date, specialist knowledge of database concepts (including unstructured, NoSQL and ”big data” platforms), object and data modelling techniques.\nPrevious experience working in the domain of Cyber Security and Intelligence is desirable, but not essential.\nHow We Will Support You\nWork-life balance is important; you’ll get 25 days holiday a year and, via our flexible benefits package the option to buy/sell and carry over from the year before\nYou can work around core hours with flexible and part-time working\nOur flexible benefits package includes; private medical and dental insurance, a competitive pension scheme, cycle to work scheme, taste cards and more\nYou’ll have a dedicated Career Manager to help you develop your career and guide you on your journey through BAE\nDon’t know a particular technology? Your learning and development is key to your future career\nYou’ll be part of our bonus scheme\nYou are welcome to join any/all of our Diversity and Support groups. These groups cover everything from gender diversity to mental health and wellbeing.\n\n#regular\n\n#hiring\n\n#AIcareers\n\nLife at BAE Systems Applied Intelligence\n\nWe are embracing Hybrid Working. This means you and your colleagues may be working in different locations, such as from home, another BAE Systems office or client site, some or all of the time, and work might be going on at different times of the day. By embracing technology, we can interact, collaborate and create together, even when we’re working remotely from one another. Hybrid Working allows for increased flexibility in when and where we work, helping us to balance our work and personal life more effectively, and enhance wellbeing.\n\nDiversity and inclusion are integral to the success of BAE Systems Applied Intelligence. We are proud to have an organisational culture where employees with varying perspectives, skills, life experiences and backgrounds – the best and brightest minds – can work together to achieve excellence and realise individual and organisational potential.\n\nAbout BAE Systems Applied Intelligence\n\nWe use our intelligence-led insights to help defend Governments, Nations and Societies from cyber-attacks and financial crime. Our customers depend on our evolving capabilities to help them safely grow their organisations. Our unprecedented access to threat intelligence, world-leading analysts and market-leading technology means we can help them to adapt, evolve and stay ahead of the criminals.\n\nDivision overview: Government\n\nAt BAE Systems Applied Intelligence, we pride ourselves in being a leader in the cyber defence industry, and Government contracts are an area we have many decades of experience in. Our Government business unit houses four of our critical client groups: UK National Security, Global National Security, defence and central government. Government and key infrastructure networks are critical targets to defend as the effects of these networks being breached can be devastating.\n\nAs a member of the Government business unit, you will defend the connected world and ensure the protection of nations. We all have a role to play in defending our clients, and this is yours.']"
98,Senior Data Scientist - All locations considered (1757),Hitachi Capital (UK) PLC,"Leeds, England, United Kingdom",Associate,Full-time,Engineering and Information Technology,"Banking, Insurance, and Financial Services",,Open,"[""Are you a Data Scientist who thrives on growth and change? Do you enjoy working with and learning new tech? Do you have strong stakeholder management skills?\n\nIf your answer is 'yes' to all of these, then we'd love to hear from you.\n\nWant to know a little about us?\n\nEvery day, over a million people and businesses across the UK, trust us to provide financial solutions to realise their ambitions. We help people like you finance furniture, home improvements, and cars. We help companies of all sizes fund growth and innovation, whilst working to build a sustainable future for all.\n\nWhat does the role involve?\n\nA business as diverse as ours is powered by data, and we need someone like you to help us on our journey to transform data ingestion, quality, analytics, and reporting.\n\nResponsibilities\n\nYou'll achieve this by carrying out a range of responsibilities including\n\nAs a Senior Data Scientist, you play an integral role in taking our existing data capabilities and solutions on a journey to the next level. You will expand our data science and complex data analysis capabilities across Hitachi Capital UK by working with our business units to provide detailed data analysis to explore and identify opportunities to improve our business systems and processes.\nProviding expert data-driven problem solving utilising mathematical skills, programming capabilities and a thorough understanding of business and financial logic.\nIdentify innovative opportunities to improve our capabilities; making recommendations to introduce what is appropriate and will improve our business.\nUse multiple advanced computational analysis methods to enable effective data-driven decision making by stakeholders throughout the business.\nEvidence that our business rules and logic adhere to regulations and demonstrate how system calculations work in response to audits.\nWhat are we looking for?\n\nYou're enthusiastic about delivering data solutions that empower business to grow and improve. You've got a good technical grounding and a desire to learn more.\n\nIn particular, we're looking for knowledge and experience of the following:\nData and statistical analysis tools and techniques\nCloud based analytic and integration toolsets (such as Microsoft Azure and AWS)\nBig Data manipulation and analysis, including the use of appropriate tools (such as Hadoop, Hive and Spark)\nAbility to use one or more programming languages (e.g. SQL, Python)\nStrong communication and stakeholder management skills, with the ability to translate and communicate technical solutions to non-technical stakeholders.\nWhat can we offer you?\n\nIn Addition To An Excellent Salary, Bonus, And Pension, We Offer\n\nWe're passionate about looking after our people at Hitachi Capital UK, as we know that looking after you means that you will look after our customers.\nCar allowance, or cash alternative\n25 days' holiday, plus bank holidays and the option to buy/sell\nWellbeing support including BUPA, Babylon Health, eyecare, employee assistance programme, and free yoga classes\nLife assurance, critical illness cover, and free financial advice\nIn addition to our core package, we offer a range of flexible benefits, including cycle to work, discounts on loans, insurance, new, and used vehicles.\n\nWhat's the next step?\n\nLike the sound of what we have to offer? Apply today, and we'll be in touch.\n\nHitachi Capital UK is proud to be a Top 50 Inclusive employer. We're committed to encouraging an inclusive culture where all colleagues can thrive and bring their whole selves to work.""]"
99,Analyst - Property Data Excellence,Cushman & Wakefield,"Leeds, England, United Kingdom",Associate,Full-time,Sales and Management,"Staffing and Recruiting, Financial Services, and Real Estate",,Open,"['Job Title\n\nAnalyst - Property Data Excellence\n\nJob Description\n\nJob Description Summary\n\nAnalyst - Property Data Excellence\n\nLocation – Leeds\n\nWe have an opportunity for Analyst to come and join our team in Leeds, you will join the Property Research & Support team and will report directly to the Director, EMEA Property Data Excellence.\n\nYou will be responsible for gathering, validating, & aggregating specific datasets, which will include documenting sources, validating data, and integrating data into Cushman & Wakefield databases.\n\nYou will work closely with the local research teams and market experts across countries and across service lines.\n\nKey Responsibilities\nAssists with updates to proprietary commercial real estate database\nExecute processes to gather datasets across a variety of internal and external sources\nAggregate, validate and cleanse data for implementation into C&W databases\nWork with internal and external data providers to refine and streamline processes\nPhysically canvas and phone canvas buildings and tenants in order to populate tenant and building database ensuring consistent and quality capture on all pertinent fields\nProactively and routinely updates and maintains property databases\nCaptures lease and sale comparable information performing research where possible and sending local Research teams’ questions where needed to ensure full capture\nMaintains exclusive listings\nFollows up on availability, lease, and sale surveys by doing Internet research and calling other commercial real estate agents to ensure proper capture of all required fields\nAssist in the quarterly reporting process including the collection of quarterly market data from local teams across EMEA, ensuring data is of required quality and added into relevant internal systems to required timescales\nDemonstrated Experience Should Include\nExperience in commercial real estate industry, property markets or research-related field preferred\nExperience in data entry/data management and data quality\nAbility to aggregate, harmonize and rationalize various data sources\nAwareness of Business Intelligence tools\nIf you are keen to join us, then get in touch and apply today!\n\nCushman & Wakefield provides equal employment opportunity. Discrimination of any type will not be tolerated. Cushman & Wakefield is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other characteristic protected by state, federal, or local law.']"
100,Site Reliability Engineer (SRE)_Permanent_London,Ubique Systems,"London, England, United Kingdom",Not Applicable,Full-time,Engineering and Information Technology,Information Technology and Services,,No longer accepting applications,"['The job \nEssential Skills/Experience: \n We are looking for a Site Reliability Engineer (SRE).\n·         Experience of supporting large scale, containerised, distributed systems (micro-services) with high reliability and resilience capabilities in production.\n·         Experience of collaborating with architects to contribute to the operational design of those systems, for example logging, monitoring, and alerting design.\nExperience of training other SREs into support of these kinds of systems and/or transformation of a traditional “support” team into an SRE team\n\nJob type : Permanent\nLocation : London, UK']"
101,Data Engineer - 3 month Contract,Real Staffing,"Leeds, England, United Kingdom",Associate,Contract,Information Technology,"Electrical/Electronic Manufacturing, Machinery, and Pharmaceuticals",,Open,"['Data Engineer - 3 month contract - Remote - Up to £480 per day - Inside\n\nOne of my leading technology companies are looking to bring in a Data engineer to support with a new global integration project as well as supporting the day to day jobs of the business within the data space.\n\nCore skills include;\nSQL Server, SSAS, SSRS and Dax\nPowerBI - development of reports and dashboards\nAzure - SQL Database, Data warehouse and Data Factory\nAzure data lakes and Databricks\nETL solutions - Python, Java or Powershell\nGeneral information-\n\nLocation - Remote\n\nRate - up to £480 per day\n\nStart date - ASAP\n\nIR35 - Inside\n\nInterview - 1 stage on teams\n\nDuration - 3 months\n\nIf interested please reply with an up to date CV and I will be in touch ASAP.\n\nPlease click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement.\n\nCom\n\nTo find out more about Real please visit www.realstaffing.\n\nReal Staffing, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy| Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales']"
102,Chief of Staff to the Cofounder/CTO,Monzo Bank,"Leeds, England, United Kingdom",Director,Full-time,Administrative,"Information Technology and Services, Computer Software, and Financial Services",,No longer accepting applications,"['👋 Hi there, I’m Jonas, cofounder and CTO at Monzo.\n\nI’m looking for a right hand person to help me scale myself, my team and help me run my organisation. You should have a technical background, be a good communicator, good at running teams and interested in tech startups. Beyond that I am flexible 😀I am happy to chat to consider people at different stages in their career and can imagine it being a good fit for a wide range of career paths such as engineering, engineering management, product management or data science.\n\nI think of this as a rare chance to be part of the leadership team that takes a growth stage, pre-IPO tech company to the next level. This could come in handy if you\'re looking to start a tech startup one day. Or if you have done so in the past and want to see what the growth stage is like before trying again. Whatever it is that you\'re looking to do after Monzo, I\'ll be happy to help you onwards on that path.\n\nOn a given day, you might\ntalk to people in the organisation to see where we can do more to help them\nfacilitate organisation-wide goal-setting, planning and decision making processes\nhelp me hire key roles in the organisation\ndraft strategies, responses to regulators, board updates, announcements, etc\nrepresent me in meetings when there are scheduling conflicts\nmediate (or pre-empt!) misunderstandings between people in and outside of Monzo\nmanage the budget and financial plan for my organisation\nbrief me before meetings with board, investors or regulators\nWith that in mind, I’m looking for somebody who\nis passionate about making money work for everyone What we have achieved over the last six years as a business was considered extremely unlikely when we set out. We obtained a banking license (even though we were mostly a bunch of programmers who never worked in banking), grew to 5m+ customers, have the highest growth and customer satisfaction in the UK market, built an organisation of 1500+ people and grew revenues to £100m+/year.\nIn order to achieve Monzo\'s mission of making money work for everyone, we will need to achieve equally unlikely things successfully for many more years. I\'m looking for somebody ambitious who is motivated by that challenge.\nhas a technical background It is important to me that you are deeply familiar with the work of building software and systems and can independently form an opinion of a technical approach and organisational structure. It\'s not a dealbreaker if you haven\'t developed software personally, but in that case please focus on how else you picked up this skill in your answer (e.g. maybe as a PM or data scientist working closely with engineers).\nYou should also be able to self-serve basic data analytics tasks using SQL. This way you will never be blocked on ""waiting for data"" from anyone, which will make it much easier to build an intuition about the business.\ncan run teams or projects efficiently This means running rituals such as planning, proactively updating stakeholders, prioritising the work we do in the CTO Office and more generally that we set good goals and then achieve them.\nI\'m not super structured, so a key part of your responsibilities will be to make sure nothing falls through the cracks and that I\'m always thinking about the most important things.\nhas a deep interest in what makes some companies more successful than others How come companies like Google, Amazon or Facebook have been orders of magnitude more successful than other companies - including legacy banks - over the last 20 years? What can we learn from them - both as a company and for our engineering organisation? What can we learn from the next generation of technology startups? From Airbnb or Stripe or Spotify? What can we do to do even better than even those companies?\nI\'m not expecting you to have the answers (because there are no clear answers!), but you should be deeply interested in these questions and have formed some independent opinions on them. More generally I\'m looking for somebody opinionated who will tell me when I\'m wrong.\nworks well with many different stakeholders In this role you will need to work with a huge range of different stakeholders. Folks in junior and senior roles at Monzo, folks with very different degrees of technical understanding, people with or without Monzo context. A big part of this is being able to clearly communicate ideas verbally and in writing at the right level of abstraction for your audience.\nOn a related note, everyone in my team is really lovely and I\'d like to keep it that way. Please don\'t apply if you see other people as resources to be used to further your own goals, rather than as humans to connect with, understand and support 🙏\n\nHopefully we can chat soon!\n\nJonas\n\nLogistics\n\nLocation:\n\nAnywhere in the UK, Ireland, France or Germany (as we have payroll in those countries) but you need to be able to spend at least a few days a month in our office in London. We can pay for relocation and sponsor a visa.\n\nCompensation\n\nDepending on experience £75k - £160k/year cash plus meaningful stock options\n\nProcess\n\nI’ll review all applications personally and the first call you’ll have is with me. If you don’t have an “up-to-date” CV, just write a few sentences about yourself and point me in the direction where I can learn more about you.\n\nFollowing that there will be a series of in-person/video interviews, as well as a written take-home task.\n\nDue to the amount of applications, I unfortunately won\'t be able to give feedback on the applications - as much as I\'d like to.\n\nEqual Opportunity Statement\n\nAt Monzo, embracing diversity in all of its forms and fostering an inclusive environment for all people to do the best work of their lives with us. This is integral to our mission of making money work for everyone.\n\nWe\'re an equal opportunity employer. All applicants will be considered for employment without attention to ethnicity, religion, sexual orientation, gender identity, family or parental status, national origin, veteran, neurodiversity status or disability status.']"
